iter	RMSE
0	12.3406783
1	12.1013578
2	11.86767935
3	11.63802056
4	11.43811166
5	11.22028441
6	11.01323299
7	10.80365723
8	10.59992741
9	10.39859166
10	10.19717792
11	10.00340632
12	9.816592147
13	9.641701497
14	9.463606602
15	9.282061257
16	9.104311952
17	8.927592887
18	8.759688422
19	8.593079357
20	8.429889716
21	8.271796236
22	8.112369554
23	7.969726347
24	7.818756154
25	7.67177618
26	7.535446565
27	7.397499824
28	7.262185297
29	7.126380546
30	6.9961625
31	6.865904877
32	6.74059774
33	6.613635061
34	6.490681736
35	6.371500992
36	6.257240118
37	6.146835413
38	6.034165301
39	5.926202126
40	5.817948661
41	5.71639251
42	5.612311459
43	5.511503991
44	5.41434258
45	5.317663568
46	5.221942061
47	5.132511522
48	5.039735481
49	4.95007728
50	4.864100021
51	4.778879704
52	4.695289584
53	4.612714664
54	4.532387862
55	4.449946389
56	4.369741851
57	4.295381376
58	4.222056573
59	4.149320257
60	4.078444237
61	4.01170575
62	3.94959294
63	3.88512605
64	3.821617423
65	3.757937032
66	3.696871898
67	3.633841585
68	3.572646827
69	3.514361762
70	3.459049029
71	3.399636538
72	3.345177181
73	3.287835469
74	3.233967802
75	3.180238256
76	3.126798045
77	3.077617846
78	3.028897824
79	2.981308201
80	2.932711834
81	2.884276271
82	2.841790204
83	2.793403998
84	2.747326333
85	2.703250285
86	2.660839253
87	2.617018255
88	2.576600731
89	2.534167915
90	2.495615782
91	2.457888738
92	2.419509445
93	2.380910726
94	2.344590859
95	2.308501554
96	2.272318658
97	2.237085016
98	2.203749735
99	2.173680345
100	2.139441171
101	2.108568127
102	2.076008558
103	2.043535077
104	2.012453383
105	1.983012611
106	1.953588972
107	1.924306256
108	1.895935775
109	1.868624633
110	1.841439089
111	1.814610361
112	1.788719398
113	1.763437589
114	1.739265112
115	1.71458793
116	1.69091736
117	1.667305424
118	1.645080345
119	1.622264245
120	1.600084675
121	1.578405387
122	1.556064316
123	1.534627981
124	1.514924391
125	1.494762158
126	1.474968399
127	1.455721163
128	1.436918999
129	1.418447827
130	1.400571021
131	1.383301778
132	1.36715865
133	1.350832055
134	1.334077235
135	1.317124423
136	1.300867609
137	1.284975942
138	1.269240749
139	1.25530582
140	1.240715935
141	1.225630046
142	1.211719917
143	1.198453893
144	1.185563244
145	1.172242101
146	1.159653862
147	1.14713346
148	1.134997211
149	1.122685148
150	1.11098183
151	1.099671474
152	1.08819136
153	1.077269946
154	1.06720852
155	1.056766082
156	1.046630611
157	1.036747912
158	1.026893825
159	1.017024283
160	1.008016689
161	0.9987015735
162	0.9894630242
163	0.9805083156
164	0.9723229774
165	0.9638227754
166	0.9558375371
167	0.9482248863
168	0.9406054891
169	0.9328492023
170	0.9255966062
171	0.919333811
172	0.9121965039
173	0.9056477004
174	0.8992035534
175	0.8929645411
176	0.8869245319
177	0.8810673827
178	0.8750407213
179	0.8694414186
180	0.8636038685
181	0.8586668412
182	0.8534958512
183	0.8480089669
184	0.84271624
185	0.8376601524
186	0.8338510387
187	0.8289864695
188	0.8243875348
189	0.8197421816
190	0.8152580109
191	0.8109694911
192	0.8067339195
193	0.8025778668
194	0.7985799759
195	0.7947798875
196	0.7908473671
197	0.7870409369
198	0.7835307068
199	0.7802452552
200	0.7768781892
201	0.7737027327
202	0.7704849758
203	0.7674096154
204	0.7644967236
205	0.7615519013
206	0.7585415581
207	0.7556940863
208	0.7529867164
209	0.7502219129
210	0.7477679673
211	0.745646243
212	0.7432474964
213	0.7408112942
214	0.7382421169
215	0.7359516891
216	0.7336697024
217	0.7317486772
218	0.7294806892
219	0.7274197598
220	0.7254050935
221	0.7233278824
222	0.7214324971
223	0.7196619524
224	0.7179115952
225	0.7160566149
226	0.7142842796
227	0.712782721
228	0.711197588
229	0.7096253108
230	0.7080200874
231	0.7066589341
232	0.7053050807
233	0.7039084538
234	0.7026385729
235	0.7017440064
236	0.700302662
237	0.6990675535
238	0.6979391167
239	0.6968997931
240	0.6957990791
241	0.6948220927
242	0.6937994301
243	0.6927285073
244	0.6917633827
245	0.6905440764
246	0.6895253481
247	0.6886656947
248	0.6876759026
249	0.6864709891
250	0.6851134562
251	0.6838496866
252	0.6829874734
253	0.6821381985
254	0.6813250012
255	0.6801301857
256	0.6793741235
257	0.6784041589
258	0.676717415
259	0.6753403956
260	0.6742707529
261	0.6735529038
262	0.6729038015
263	0.6718277061
264	0.671154576
265	0.6703869203
266	0.6695047618
267	0.6688278008
268	0.6681125987
269	0.6675095518
270	0.6663676651
271	0.6657579517
272	0.6647108668
273	0.6636272717
274	0.6630086801
275	0.6621906097
276	0.6613263632
277	0.660452965
278	0.6600080558
279	0.6594131062
280	0.6590927674
281	0.658400394
282	0.6574865959
283	0.6570894897
284	0.6565717149
285	0.6558168523
286	0.6550271508
287	0.6541952735
288	0.653701686
289	0.6531308386
290	0.652428597
291	0.651556757
292	0.6504901187
293	0.6499877675
294	0.6487141263
295	0.6480725993
296	0.6468430311
297	0.6464308185
298	0.6458050704
299	0.6452882146
300	0.6448225424
301	0.6435778855
302	0.6425432336
303	0.6413859516
304	0.6409275821
305	0.6405348656
306	0.6400151601
307	0.6396192899
308	0.6390763526
309	0.6387422983
310	0.6382242229
311	0.6375576455
312	0.6372905286
313	0.6370171437
314	0.6360233102
315	0.6356329785
316	0.6348846727
317	0.6343570342
318	0.6335604141
319	0.6330326295
320	0.6327217686
321	0.6324429278
322	0.6319604629
323	0.6312598124
324	0.6308222805
325	0.6305264959
326	0.6301562331
327	0.6298149488
328	0.628984339
329	0.628601662
330	0.6282235795
331	0.6279960461
332	0.6273431726
333	0.6270442148
334	0.6266963169
335	0.6257820989
336	0.6251081937
337	0.6247883159
338	0.6239626818
339	0.6231359345
340	0.622805613
341	0.6222387112
342	0.6220288441
343	0.6214982627
344	0.6210707363
345	0.6202213813
346	0.6199982505
347	0.6197387689
348	0.6194385547
349	0.6189803473
350	0.6186350216
351	0.6183647323
352	0.6178643103
353	0.6173395868
354	0.6170870826
355	0.6167758259
356	0.6164947975
357	0.6158593484
358	0.6151230632
359	0.6148579446
360	0.6145080041
361	0.6142877767
362	0.6141223907
363	0.6134885663
364	0.6128969712
365	0.6126289388
366	0.6121703266
367	0.6116575376
368	0.6114037811
369	0.6107818025
370	0.610542746
371	0.6103370318
372	0.6098766299
373	0.6094354233
374	0.6092263928
375	0.6087874382
376	0.6085561187
377	0.6083884119
378	0.6081886543
379	0.608035965
380	0.6077943102
381	0.6072128686
382	0.606844234
383	0.6062349454
384	0.6056326954
385	0.6052946679
386	0.6048275351
387	0.6045408492
388	0.6040371224
389	0.603563402
390	0.6032367682
391	0.6029476378
392	0.6027080467
393	0.6024736449
394	0.6019958882
395	0.6016766868
396	0.6013461449
397	0.6011400024
398	0.6008023903
399	0.6004709922
400	0.6000997131
401	0.5998507429
402	0.5995301667
403	0.5991077753
404	0.5988697468
405	0.598515563
406	0.5981130023
407	0.5978170474
408	0.5976031302
409	0.5971919948
410	0.5970433034
411	0.5967512822
412	0.5964106333
413	0.595917761
414	0.5954004993
415	0.5951181944
416	0.5946876585
417	0.5943776211
418	0.594080815
419	0.5938206984
420	0.5932176951
421	0.59285054
422	0.5927229489
423	0.5921607544
424	0.5918275406
425	0.5916746234
426	0.5913156176
427	0.5909829629
428	0.5907570424
429	0.590465047
430	0.5902075151
431	0.5898771285
432	0.5894237007
433	0.5891080141
434	0.5887308574
435	0.5884143899
436	0.5882135091
437	0.5877628406
438	0.5873509831
439	0.5870817529
440	0.586717975
441	0.5864179281
442	0.586231436
443	0.5857779685
444	0.58540123
445	0.5850430383
446	0.5847580382
447	0.5844331034
448	0.5839784908
449	0.5838477143
450	0.5835328169
451	0.5833188175
452	0.583132312
453	0.5827603801
454	0.5824272059
455	0.5819987536
456	0.5816269491
457	0.5812122906
458	0.5809934279
459	0.5807162618
460	0.5804432437
461	0.5801574163
462	0.5797486103
463	0.5795065194
464	0.5792127693
465	0.5790812441
466	0.5788487687
467	0.578597891
468	0.5783135614
469	0.5779253289
470	0.5777413486
471	0.577244038
472	0.5767479592
