iter	Passed	Remaining
0	0	455
1	1	379
2	1	352
3	2	346
4	3	332
5	3	324
6	4	315
7	4	308
8	5	327
9	6	334
10	6	326
11	7	317
12	7	312
13	8	308
14	8	301
15	8	295
16	9	291
17	9	286
18	10	281
19	10	279
20	11	281
21	11	281
22	12	280
23	12	282
24	13	281
25	13	279
26	14	276
27	14	273
28	15	273
29	15	273
30	16	272
31	16	274
32	17	273
33	17	274
34	18	273
35	18	272
36	19	272
37	20	273
38	20	271
39	21	272
40	21	270
41	22	270
42	22	268
43	23	266
44	23	265
45	24	266
46	24	265
47	25	265
48	25	264
49	26	263
50	26	262
51	27	262
52	27	261
53	28	260
54	28	259
55	29	257
56	29	256
57	29	254
58	30	253
59	30	253
60	31	252
61	31	250
62	32	250
63	32	248
64	33	248
65	33	246
66	33	245
67	34	243
68	34	242
69	34	240
70	35	239
71	35	237
72	35	236
73	36	235
74	36	234
75	37	232
76	37	231
77	38	234
78	38	233
79	39	232
80	39	231
81	40	230
82	40	229
83	40	228
84	41	226
85	41	225
86	41	224
87	42	223
88	42	222
89	43	221
90	43	221
91	43	220
92	44	218
93	44	217
94	44	216
95	45	215
96	45	214
97	45	213
98	46	212
99	46	211
100	46	210
101	47	208
102	47	208
103	48	207
104	48	206
105	48	205
106	49	204
107	49	203
108	49	202
109	50	201
110	50	200
111	50	199
112	50	198
113	51	197
114	51	196
115	52	195
116	52	195
117	53	195
118	53	194
119	53	193
120	53	192
121	54	191
122	54	190
123	54	189
124	55	189
125	55	188
126	55	187
127	56	186
128	56	185
129	56	184
130	57	185
131	57	184
132	58	184
133	58	183
134	58	182
135	59	181
136	59	180
137	60	182
138	61	181
139	61	180
140	61	180
141	61	179
142	62	178
143	62	177
144	62	176
145	62	175
146	63	174
147	63	174
148	63	173
149	64	172
150	64	172
151	64	171
152	65	170
153	65	169
154	65	168
155	66	168
156	66	167
157	66	166
158	66	165
159	67	165
160	67	164
161	67	163
162	68	163
163	68	162
164	68	161
165	69	161
166	69	160
167	69	159
168	69	158
169	70	158
170	70	157
171	70	156
172	71	156
173	71	155
174	71	154
175	72	154
176	72	153
177	72	153
178	72	152
179	73	151
180	73	150
181	73	150
182	73	149
183	74	148
184	74	148
185	74	147
186	75	146
187	75	146
188	75	145
189	75	144
190	76	144
191	76	143
192	76	143
193	76	142
194	77	141
195	77	141
196	77	140
197	78	139
198	78	139
199	78	138
200	78	137
201	79	137
202	79	136
203	79	136
204	79	135
205	80	134
206	80	134
207	80	133
208	80	132
209	81	132
210	81	131
211	81	131
212	81	130
213	82	130
214	82	129
215	82	128
216	82	128
217	83	127
218	83	127
219	83	126
220	83	125
221	84	126
222	84	125
223	85	125
224	85	124
225	85	124
226	86	123
227	86	123
228	86	122
229	86	122
230	87	121
231	87	120
232	87	120
233	87	119
234	88	119
235	88	118
236	88	118
237	88	117
238	89	117
239	89	116
240	89	116
241	89	115
242	90	114
243	90	114
244	90	113
245	90	113
246	91	112
247	91	112
248	91	111
249	91	111
250	92	110
251	92	110
252	92	109
253	92	109
254	93	108
255	93	108
256	93	107
257	93	107
258	94	106
259	94	106
260	94	105
261	94	105
262	95	104
263	95	104
264	95	103
265	95	103
266	96	102
267	96	102
268	96	101
269	96	101
270	97	101
271	97	100
272	97	100
273	97	99
274	98	99
275	98	98
276	98	98
277	99	97
278	99	97
279	99	97
280	99	96
281	100	96
282	100	95
283	100	95
284	100	94
285	101	94
286	101	93
287	101	93
288	101	93
289	102	92
290	102	92
291	102	91
292	102	91
293	103	90
294	103	90
295	103	89
